id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,87.947216094,22.822822687,87.957216094,22.832822687,0,0,,,,,,
2,87.947216094,22.812822687,87.957216094,22.822822687,1,0,,,,,,
3,87.947216094,22.802822687,87.957216094,22.812822687,2,0,,,,,,
4,87.947216094,22.792822687,87.957216094,22.802822687,3,0,,,,,,
5,87.947216094,22.782822687,87.957216094,22.792822687,4,0,,,,,,
6,87.947216094,22.772822687,87.957216094,22.782822687,5,0,,,,,,
7,87.947216094,22.762822687,87.957216094,22.772822687,6,0,,,,,,
8,87.947216094,22.752822687,87.957216094,22.762822687,7,0,,,,,,
9,87.947216094,22.742822687,87.957216094,22.752822687,8,0,,,,,,
10,87.947216094,22.732822687,87.957216094,22.742822687,9,0,,,,,,
11,87.947216094,22.722822687,87.957216094,22.732822687,10,0,,,,,,
12,87.947216094,22.712822687,87.957216094,22.722822687,11,0,,,,,,
13,87.947216094,22.702822687,87.957216094,22.712822687,12,0,,,,,,
14,87.947216094,22.692822687,87.957216094,22.702822687,13,0,,,,,,
15,87.947216094,22.682822687,87.957216094,22.692822687,14,0,,,,,,
16,87.947216094,22.672822687,87.957216094,22.682822687,15,0,,,,,,
17,87.947216094,22.662822687,87.957216094,22.672822687,16,0,,,,,,
18,87.947216094,22.652822687,87.957216094,22.662822687,17,0,,,,,,
19,87.947216094,22.642822687,87.957216094,22.652822687,18,0,,,,,,
20,87.947216094,22.632822687,87.957216094,22.642822687,19,0,,,,,,
21,87.947216094,22.622822687,87.957216094,22.632822687,20,0,,,,,,
22,87.947216094,22.612822687,87.957216094,22.622822687,21,0,,,,,,
23,87.947216094,22.602822687,87.957216094,22.612822687,22,0,,,,,,
24,87.947216094,22.592822687,87.957216094,22.602822687,23,0,,,,,,
25,87.957216094,22.822822687,87.967216094,22.832822687,0,1,,,,,,
26,87.957216094,22.812822687,87.967216094,22.822822687,1,1,,,,,,
27,87.957216094,22.802822687,87.967216094,22.812822687,2,1,,,,,,
28,87.957216094,22.792822687,87.967216094,22.802822687,3,1,,,,,,
29,87.957216094,22.782822687,87.967216094,22.792822687,4,1,,,,,,
30,87.957216094,22.772822687,87.967216094,22.782822687,5,1,,,,,,
31,87.957216094,22.762822687,87.967216094,22.772822687,6,1,,,,,,
32,87.957216094,22.752822687,87.967216094,22.762822687,7,1,,,,,,
33,87.957216094,22.742822687,87.967216094,22.752822687,8,1,,,,,,
34,87.957216094,22.732822687,87.967216094,22.742822687,9,1,,,,,,
35,87.957216094,22.722822687,87.967216094,22.732822687,10,1,,,,,,
36,87.957216094,22.712822687,87.967216094,22.722822687,11,1,,,,,,
37,87.957216094,22.702822687,87.967216094,22.712822687,12,1,,,,,,
38,87.957216094,22.692822687,87.967216094,22.702822687,13,1,,,,,,
39,87.957216094,22.682822687,87.967216094,22.692822687,14,1,,,,,,
40,87.957216094,22.672822687,87.967216094,22.682822687,15,1,,,,,,
41,87.957216094,22.662822687,87.967216094,22.672822687,16,1,,,,,,
42,87.957216094,22.652822687,87.967216094,22.662822687,17,1,,,,,,
43,87.957216094,22.642822687,87.967216094,22.652822687,18,1,,,,,,
44,87.957216094,22.632822687,87.967216094,22.642822687,19,1,,,,,,
45,87.957216094,22.622822687,87.967216094,22.632822687,20,1,,,,,,
46,87.957216094,22.612822687,87.967216094,22.622822687,21,1,,,,,,
47,87.957216094,22.602822687,87.967216094,22.612822687,22,1,,,,,,
48,87.957216094,22.592822687,87.967216094,22.602822687,23,1,,,,,,
49,87.967216094,22.822822687,87.977216094,22.832822687,0,2,,,,,,
50,87.967216094,22.812822687,87.977216094,22.822822687,1,2,,,,,,
51,87.967216094,22.802822687,87.977216094,22.812822687,2,2,,,,,,
52,87.967216094,22.792822687,87.977216094,22.802822687,3,2,,,,,,
53,87.967216094,22.782822687,87.977216094,22.792822687,4,2,,,,,,
54,87.967216094,22.772822687,87.977216094,22.782822687,5,2,,,,,,
55,87.967216094,22.762822687,87.977216094,22.772822687,6,2,,,,,,
56,87.967216094,22.752822687,87.977216094,22.762822687,7,2,,,,,,
57,87.967216094,22.742822687,87.977216094,22.752822687,8,2,,,,,,
58,87.967216094,22.732822687,87.977216094,22.742822687,9,2,,,,,,
59,87.967216094,22.722822687,87.977216094,22.732822687,10,2,,,,,,
60,87.967216094,22.712822687,87.977216094,22.722822687,11,2,,,,,,
61,87.967216094,22.702822687,87.977216094,22.712822687,12,2,,,,,,
62,87.967216094,22.692822687,87.977216094,22.702822687,13,2,,,,,,
63,87.967216094,22.682822687,87.977216094,22.692822687,14,2,,,,,,
64,87.967216094,22.672822687,87.977216094,22.682822687,15,2,,,,,,
65,87.967216094,22.662822687,87.977216094,22.672822687,16,2,,,,,,
66,87.967216094,22.652822687,87.977216094,22.662822687,17,2,,,,,,
67,87.967216094,22.642822687,87.977216094,22.652822687,18,2,,,,,,
68,87.967216094,22.632822687,87.977216094,22.642822687,19,2,,,,,,
69,87.967216094,22.622822687,87.977216094,22.632822687,20,2,,,,,,
70,87.967216094,22.612822687,87.977216094,22.622822687,21,2,,,,,,
71,87.967216094,22.602822687,87.977216094,22.612822687,22,2,,,,,,
72,87.967216094,22.592822687,87.977216094,22.602822687,23,2,,,,,,
73,87.977216094,22.822822687,87.987216094,22.832822687,0,3,,,,,,
74,87.977216094,22.812822687,87.987216094,22.822822687,1,3,,,,,,
75,87.977216094,22.802822687,87.987216094,22.812822687,2,3,,,,,,
76,87.977216094,22.792822687,87.987216094,22.802822687,3,3,,,,,,
77,87.977216094,22.782822687,87.987216094,22.792822687,4,3,,,,,,
78,87.977216094,22.772822687,87.987216094,22.782822687,5,3,,,,,,
79,87.977216094,22.762822687,87.987216094,22.772822687,6,3,,,,,,
80,87.977216094,22.752822687,87.987216094,22.762822687,7,3,,,,,,
81,87.977216094,22.742822687,87.987216094,22.752822687,8,3,,,,,,
82,87.977216094,22.732822687,87.987216094,22.742822687,9,3,,,,,,
83,87.977216094,22.722822687,87.987216094,22.732822687,10,3,,,,,,
84,87.977216094,22.712822687,87.987216094,22.722822687,11,3,,,,,,
85,87.977216094,22.702822687,87.987216094,22.712822687,12,3,,,,,,
86,87.977216094,22.692822687,87.987216094,22.702822687,13,3,,,,,,
87,87.977216094,22.682822687,87.987216094,22.692822687,14,3,,,,,,
88,87.977216094,22.672822687,87.987216094,22.682822687,15,3,,,,,,
89,87.977216094,22.662822687,87.987216094,22.672822687,16,3,,,,,,
90,87.977216094,22.652822687,87.987216094,22.662822687,17,3,,,,,,
91,87.977216094,22.642822687,87.987216094,22.652822687,18,3,,,,,,
92,87.977216094,22.632822687,87.987216094,22.642822687,19,3,,,,,,
93,87.977216094,22.622822687,87.987216094,22.632822687,20,3,,,,,,
94,87.977216094,22.612822687,87.987216094,22.622822687,21,3,,,,,,
95,87.977216094,22.602822687,87.987216094,22.612822687,22,3,,,,,,
96,87.977216094,22.592822687,87.987216094,22.602822687,23,3,,,,,,
97,87.987216094,22.822822687,87.997216094,22.832822687,0,4,,,,,,
