id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,88.20323595,22.822822687,88.21323595,22.832822687,0,0,,,,,,
2,88.20323595,22.812822687,88.21323595,22.822822687,1,0,,,,,,
3,88.20323595,22.802822687,88.21323595,22.812822687,2,0,,,,,,
4,88.20323595,22.792822687,88.21323595,22.802822687,3,0,,,,,,
5,88.20323595,22.782822687,88.21323595,22.792822687,4,0,,,,,,
6,88.20323595,22.772822687,88.21323595,22.782822687,5,0,,,,,,
7,88.20323595,22.762822687,88.21323595,22.772822687,6,0,,,,,,
8,88.20323595,22.752822687,88.21323595,22.762822687,7,0,,,,,,
9,88.20323595,22.742822687,88.21323595,22.752822687,8,0,,,,,,
10,88.20323595,22.732822687,88.21323595,22.742822687,9,0,,,,,,
11,88.20323595,22.722822687,88.21323595,22.732822687,10,0,,,,,,
12,88.20323595,22.712822687,88.21323595,22.722822687,11,0,,,,,,
13,88.20323595,22.702822687,88.21323595,22.712822687,12,0,,,,,,
14,88.20323595,22.692822687,88.21323595,22.702822687,13,0,,,,,,
15,88.20323595,22.682822687,88.21323595,22.692822687,14,0,,,,,,
16,88.20323595,22.672822687,88.21323595,22.682822687,15,0,,,,,,
17,88.20323595,22.662822687,88.21323595,22.672822687,16,0,,,,,,
18,88.20323595,22.652822687,88.21323595,22.662822687,17,0,,,,,,
19,88.20323595,22.642822687,88.21323595,22.652822687,18,0,,,,,,
20,88.20323595,22.632822687,88.21323595,22.642822687,19,0,,,,,,
21,88.20323595,22.622822687,88.21323595,22.632822687,20,0,,,,,,
22,88.20323595,22.612822687,88.21323595,22.622822687,21,0,,,,,,
23,88.20323595,22.602822687,88.21323595,22.612822687,22,0,,,,,,
24,88.20323595,22.592822687,88.21323595,22.602822687,23,0,,,,,,
25,88.21323595,22.822822687,88.22323595,22.832822687,0,1,,,,,,
26,88.21323595,22.812822687,88.22323595,22.822822687,1,1,,,,,,
27,88.21323595,22.802822687,88.22323595,22.812822687,2,1,,,,,,
28,88.21323595,22.792822687,88.22323595,22.802822687,3,1,,,,,,
29,88.21323595,22.782822687,88.22323595,22.792822687,4,1,,,,,,
30,88.21323595,22.772822687,88.22323595,22.782822687,5,1,,,,,,
31,88.21323595,22.762822687,88.22323595,22.772822687,6,1,,,,,,
32,88.21323595,22.752822687,88.22323595,22.762822687,7,1,,,,,,
33,88.21323595,22.742822687,88.22323595,22.752822687,8,1,,,,,,
34,88.21323595,22.732822687,88.22323595,22.742822687,9,1,,,,,,
35,88.21323595,22.722822687,88.22323595,22.732822687,10,1,,,,,,
36,88.21323595,22.712822687,88.22323595,22.722822687,11,1,,,,,,
37,88.21323595,22.702822687,88.22323595,22.712822687,12,1,,,,,,
38,88.21323595,22.692822687,88.22323595,22.702822687,13,1,,,,,,
39,88.21323595,22.682822687,88.22323595,22.692822687,14,1,,,,,,
40,88.21323595,22.672822687,88.22323595,22.682822687,15,1,,,,,,
41,88.21323595,22.662822687,88.22323595,22.672822687,16,1,,,,,,
42,88.21323595,22.652822687,88.22323595,22.662822687,17,1,,,,,,
43,88.21323595,22.642822687,88.22323595,22.652822687,18,1,,,,,,
44,88.21323595,22.632822687,88.22323595,22.642822687,19,1,,,,,,
