id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,87.947216094,22.391631351,87.957216094,22.401631351,0,0,,,,,,
2,87.947216094,22.381631351,87.957216094,22.391631351,1,0,,,,,,
3,87.947216094,22.371631351,87.957216094,22.381631351,2,0,,,,,,
4,87.947216094,22.361631351,87.957216094,22.371631351,3,0,,,,,,
5,87.947216094,22.351631351,87.957216094,22.361631351,4,0,,,,,,
6,87.947216094,22.341631351,87.957216094,22.351631351,5,0,,,,,,
7,87.947216094,22.331631351,87.957216094,22.341631351,6,0,,,,,,
8,87.947216094,22.321631351,87.957216094,22.331631351,7,0,,,,,,
9,87.947216094,22.311631351,87.957216094,22.321631351,8,0,,,,,,
10,87.947216094,22.301631351,87.957216094,22.311631351,9,0,,,,,,
11,87.947216094,22.291631351,87.957216094,22.301631351,10,0,,,,,,
12,87.947216094,22.281631351,87.957216094,22.291631351,11,0,,,,,,
13,87.947216094,22.271631351,87.957216094,22.281631351,12,0,,,,,,
14,87.947216094,22.261631351,87.957216094,22.271631351,13,0,,,,,,
15,87.947216094,22.251631351,87.957216094,22.261631351,14,0,,,,,,
16,87.947216094,22.241631351,87.957216094,22.251631351,15,0,,,,,,
17,87.947216094,22.231631351,87.957216094,22.241631351,16,0,,,,,,
18,87.947216094,22.221631351,87.957216094,22.231631351,17,0,,,,,,
19,87.947216094,22.211631351,87.957216094,22.221631351,18,0,,,,,,
20,87.947216094,22.201631351,87.957216094,22.211631351,19,0,,,,,,
21,87.947216094,22.191631351,87.957216094,22.201631351,20,0,,,,,,
22,87.947216094,22.181631351,87.957216094,22.191631351,21,0,,,,,,
23,87.947216094,22.171631351,87.957216094,22.181631351,22,0,,,,,,
24,87.947216094,22.161631351,87.957216094,22.171631351,23,0,,,,,,
25,87.957216094,22.391631351,87.967216094,22.401631351,0,1,,,,,,
26,87.957216094,22.381631351,87.967216094,22.391631351,1,1,,,,,,
27,87.957216094,22.371631351,87.967216094,22.381631351,2,1,,,,,,
28,87.957216094,22.361631351,87.967216094,22.371631351,3,1,,,,,,
29,87.957216094,22.351631351,87.967216094,22.361631351,4,1,,,,,,
30,87.957216094,22.341631351,87.967216094,22.351631351,5,1,,,,,,
31,87.957216094,22.331631351,87.967216094,22.341631351,6,1,,,,,,
32,87.957216094,22.321631351,87.967216094,22.331631351,7,1,,,,,,
33,87.957216094,22.311631351,87.967216094,22.321631351,8,1,,,,,,
34,87.957216094,22.301631351,87.967216094,22.311631351,9,1,,,,,,
35,87.957216094,22.291631351,87.967216094,22.301631351,10,1,,,,,,
36,87.957216094,22.281631351,87.967216094,22.291631351,11,1,,,,,,
37,87.957216094,22.271631351,87.967216094,22.281631351,12,1,,,,,,
38,87.957216094,22.261631351,87.967216094,22.271631351,13,1,,,,,,
39,87.957216094,22.251631351,87.967216094,22.261631351,14,1,,,,,,
40,87.957216094,22.241631351,87.967216094,22.251631351,15,1,,,,,,
41,87.957216094,22.231631351,87.967216094,22.241631351,16,1,,,,,,
42,87.957216094,22.221631351,87.967216094,22.231631351,17,1,,,,,,
43,87.957216094,22.211631351,87.967216094,22.221631351,18,1,,,,,,
44,87.957216094,22.201631351,87.967216094,22.211631351,19,1,,,,,,
45,87.957216094,22.191631351,87.967216094,22.201631351,20,1,,,,,,
46,87.957216094,22.181631351,87.967216094,22.191631351,21,1,,,,,,
47,87.957216094,22.171631351,87.967216094,22.181631351,22,1,,,,,,
48,87.957216094,22.161631351,87.967216094,22.171631351,23,1,,,,,,
49,87.967216094,22.391631351,87.977216094,22.401631351,0,2,,,,,,
50,87.967216094,22.381631351,87.977216094,22.391631351,1,2,,,,,,
51,87.967216094,22.371631351,87.977216094,22.381631351,2,2,,,,,,
52,87.967216094,22.361631351,87.977216094,22.371631351,3,2,,,,,,
53,87.967216094,22.351631351,87.977216094,22.361631351,4,2,,,,,,
54,87.967216094,22.341631351,87.977216094,22.351631351,5,2,,,,,,
55,87.967216094,22.331631351,87.977216094,22.341631351,6,2,,,,,,
56,87.967216094,22.321631351,87.977216094,22.331631351,7,2,,,,,,
57,87.967216094,22.311631351,87.977216094,22.321631351,8,2,,,,,,
58,87.967216094,22.301631351,87.977216094,22.311631351,9,2,,,,,,
59,87.967216094,22.291631351,87.977216094,22.301631351,10,2,,,,,,
60,87.967216094,22.281631351,87.977216094,22.291631351,11,2,,,,,,
61,87.967216094,22.271631351,87.977216094,22.281631351,12,2,,,,,,
62,87.967216094,22.261631351,87.977216094,22.271631351,13,2,,,,,,
63,87.967216094,22.251631351,87.977216094,22.261631351,14,2,,,,,,
64,87.967216094,22.241631351,87.977216094,22.251631351,15,2,,,,,,
65,87.967216094,22.231631351,87.977216094,22.241631351,16,2,,,,,,
66,87.967216094,22.221631351,87.977216094,22.231631351,17,2,,,,,,
67,87.967216094,22.211631351,87.977216094,22.221631351,18,2,,,,,,
68,87.967216094,22.201631351,87.977216094,22.211631351,19,2,,,,,,
69,87.967216094,22.191631351,87.977216094,22.201631351,20,2,,,,,,
70,87.967216094,22.181631351,87.977216094,22.191631351,21,2,,,,,,
71,87.967216094,22.171631351,87.977216094,22.181631351,22,2,,,,,,
72,87.967216094,22.161631351,87.977216094,22.171631351,23,2,,,,,,
73,87.977216094,22.391631351,87.987216094,22.401631351,0,3,,,,,,
74,87.977216094,22.381631351,87.987216094,22.391631351,1,3,,,,,,
75,87.977216094,22.371631351,87.987216094,22.381631351,2,3,,,,,,
76,87.977216094,22.361631351,87.987216094,22.371631351,3,3,,,,,,
77,87.977216094,22.351631351,87.987216094,22.361631351,4,3,,,,,,
