id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,87.947216094,22.607227019,87.957216094,22.617227019,0,0,,,,,,
2,87.947216094,22.597227019,87.957216094,22.607227019,1,0,,,,,,
3,87.947216094,22.587227019,87.957216094,22.597227019,2,0,,,,,,
4,87.947216094,22.577227019,87.957216094,22.587227019,3,0,,,,,,
5,87.947216094,22.567227019,87.957216094,22.577227019,4,0,,,,,,
6,87.947216094,22.557227019,87.957216094,22.567227019,5,0,,,,,,
7,87.947216094,22.547227019,87.957216094,22.557227019,6,0,,,,,,
8,87.947216094,22.537227019,87.957216094,22.547227019,7,0,,,,,,
9,87.947216094,22.527227019,87.957216094,22.537227019,8,0,,,,,,
10,87.947216094,22.517227019,87.957216094,22.527227019,9,0,,,,,,
11,87.947216094,22.507227019,87.957216094,22.517227019,10,0,,,,,,
12,87.947216094,22.497227019,87.957216094,22.507227019,11,0,,,,,,
13,87.947216094,22.487227019,87.957216094,22.497227019,12,0,,,,,,
14,87.947216094,22.477227019,87.957216094,22.487227019,13,0,,,,,,
15,87.947216094,22.467227019,87.957216094,22.477227019,14,0,,,,,,
16,87.947216094,22.457227019,87.957216094,22.467227019,15,0,,,,,,
17,87.947216094,22.447227019,87.957216094,22.457227019,16,0,,,,,,
18,87.947216094,22.437227019,87.957216094,22.447227019,17,0,,,,,,
19,87.947216094,22.427227019,87.957216094,22.437227019,18,0,,,,,,
20,87.947216094,22.417227019,87.957216094,22.427227019,19,0,,,,,,
21,87.947216094,22.407227019,87.957216094,22.417227019,20,0,,,,,,
22,87.947216094,22.397227019,87.957216094,22.407227019,21,0,,,,,,
23,87.947216094,22.387227019,87.957216094,22.397227019,22,0,,,,,,
24,87.947216094,22.377227019,87.957216094,22.387227019,23,0,,,,,,
25,87.957216094,22.607227019,87.967216094,22.617227019,0,1,,,,,,
26,87.957216094,22.597227019,87.967216094,22.607227019,1,1,,,,,,
27,87.957216094,22.587227019,87.967216094,22.597227019,2,1,,,,,,
28,87.957216094,22.577227019,87.967216094,22.587227019,3,1,,,,,,
29,87.957216094,22.567227019,87.967216094,22.577227019,4,1,,,,,,
30,87.957216094,22.557227019,87.967216094,22.567227019,5,1,,,,,,
31,87.957216094,22.547227019,87.967216094,22.557227019,6,1,,,,,,
32,87.957216094,22.537227019,87.967216094,22.547227019,7,1,,,,,,
33,87.957216094,22.527227019,87.967216094,22.537227019,8,1,,,,,,
34,87.957216094,22.517227019,87.967216094,22.527227019,9,1,,,,,,
35,87.957216094,22.507227019,87.967216094,22.517227019,10,1,,,,,,
36,87.957216094,22.497227019,87.967216094,22.507227019,11,1,,,,,,
37,87.957216094,22.487227019,87.967216094,22.497227019,12,1,,,,,,
38,87.957216094,22.477227019,87.967216094,22.487227019,13,1,,,,,,
39,87.957216094,22.467227019,87.967216094,22.477227019,14,1,,,,,,
40,87.957216094,22.457227019,87.967216094,22.467227019,15,1,,,,,,
41,87.957216094,22.447227019,87.967216094,22.457227019,16,1,,,,,,
42,87.957216094,22.437227019,87.967216094,22.447227019,17,1,,,,,,
43,87.957216094,22.427227019,87.967216094,22.437227019,18,1,,,,,,
44,87.957216094,22.417227019,87.967216094,22.427227019,19,1,,,,,,
45,87.957216094,22.407227019,87.967216094,22.417227019,20,1,,,,,,
46,87.957216094,22.397227019,87.967216094,22.407227019,21,1,,,,,,
47,87.957216094,22.387227019,87.967216094,22.397227019,22,1,,,,,,
48,87.957216094,22.377227019,87.967216094,22.387227019,23,1,,,,,,
49,87.967216094,22.607227019,87.977216094,22.617227019,0,2,,,,,,
50,87.967216094,22.597227019,87.977216094,22.607227019,1,2,,,,,,
51,87.967216094,22.587227019,87.977216094,22.597227019,2,2,,,,,,
52,87.967216094,22.577227019,87.977216094,22.587227019,3,2,,,,,,
53,87.967216094,22.567227019,87.977216094,22.577227019,4,2,,,,,,
54,87.967216094,22.557227019,87.977216094,22.567227019,5,2,,,,,,
55,87.967216094,22.547227019,87.977216094,22.557227019,6,2,,,,,,
56,87.967216094,22.537227019,87.977216094,22.547227019,7,2,,,,,,
57,87.967216094,22.527227019,87.977216094,22.537227019,8,2,,,,,,
58,87.967216094,22.517227019,87.977216094,22.527227019,9,2,,,,,,
59,87.967216094,22.507227019,87.977216094,22.517227019,10,2,,,,,,
60,87.967216094,22.497227019,87.977216094,22.507227019,11,2,,,,,,
