id,left,top,right,bottom,row_index,col_index,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5,SAMPLE_6
1,88.45476423,22.822822687,88.46476423,22.832822687,0,0,,,,,,
2,88.45476423,22.812822687,88.46476423,22.822822687,1,0,,,,,,
3,88.45476423,22.802822687,88.46476423,22.812822687,2,0,,,,,,
4,88.45476423,22.792822687,88.46476423,22.802822687,3,0,,,,,,
5,88.45476423,22.782822687,88.46476423,22.792822687,4,0,,,,,,
6,88.45476423,22.772822687,88.46476423,22.782822687,5,0,,,,,,
7,88.45476423,22.762822687,88.46476423,22.772822687,6,0,,,,,,
8,88.45476423,22.752822687,88.46476423,22.762822687,7,0,,,,,,
9,88.45476423,22.742822687,88.46476423,22.752822687,8,0,,,,,,
10,88.45476423,22.732822687,88.46476423,22.742822687,9,0,,,,,,
11,88.45476423,22.722822687,88.46476423,22.732822687,10,0,,,,,,
12,88.45476423,22.712822687,88.46476423,22.722822687,11,0,,,,,,
13,88.45476423,22.702822687,88.46476423,22.712822687,12,0,,,,,,
14,88.45476423,22.692822687,88.46476423,22.702822687,13,0,,,,,,
15,88.45476423,22.682822687,88.46476423,22.692822687,14,0,,,,,,
16,88.45476423,22.672822687,88.46476423,22.682822687,15,0,,,,,,
17,88.45476423,22.662822687,88.46476423,22.672822687,16,0,,,,,,
18,88.45476423,22.652822687,88.46476423,22.662822687,17,0,,,,,,
19,88.45476423,22.642822687,88.46476423,22.652822687,18,0,,,,,,
20,88.45476423,22.632822687,88.46476423,22.642822687,19,0,,,,,,
21,88.45476423,22.622822687,88.46476423,22.632822687,20,0,,,,,,
22,88.45476423,22.612822687,88.46476423,22.622822687,21,0,,,,,,
23,88.45476423,22.602822687,88.46476423,22.612822687,22,0,,,,,,
24,88.45476423,22.592822687,88.46476423,22.602822687,23,0,,,,,,
25,88.46476423,22.822822687,88.47476423,22.832822687,0,1,,,,,,
26,88.46476423,22.812822687,88.47476423,22.822822687,1,1,,,,,,
27,88.46476423,22.802822687,88.47476423,22.812822687,2,1,,,,,,
28,88.46476423,22.792822687,88.47476423,22.802822687,3,1,,,,,,
29,88.46476423,22.782822687,88.47476423,22.792822687,4,1,,,,,,
30,88.46476423,22.772822687,88.47476423,22.782822687,5,1,,,,,,
31,88.46476423,22.762822687,88.47476423,22.772822687,6,1,,,,,,
32,88.46476423,22.752822687,88.47476423,22.762822687,7,1,,,,,,
33,88.46476423,22.742822687,88.47476423,22.752822687,8,1,,,,,,
34,88.46476423,22.732822687,88.47476423,22.742822687,9,1,,,,,,
35,88.46476423,22.722822687,88.47476423,22.732822687,10,1,,,,,,
36,88.46476423,22.712822687,88.47476423,22.722822687,11,1,,,,,,
37,88.46476423,22.702822687,88.47476423,22.712822687,12,1,,,,,,
38,88.46476423,22.692822687,88.47476423,22.702822687,13,1,,,,,,
39,88.46476423,22.682822687,88.47476423,22.692822687,14,1,,,,,,
40,88.46476423,22.672822687,88.47476423,22.682822687,15,1,,,,,,
41,88.46476423,22.662822687,88.47476423,22.672822687,16,1,,,,,,
42,88.46476423,22.652822687,88.47476423,22.662822687,17,1,,,,,,
43,88.46476423,22.642822687,88.47476423,22.652822687,18,1,,,,,,
44,88.46476423,22.632822687,88.47476423,22.642822687,19,1,,,,,,
45,88.46476423,22.622822687,88.47476423,22.632822687,20,1,,,,,,
46,88.46476423,22.612822687,88.47476423,22.622822687,21,1,,,,,,
47,88.46476423,22.602822687,88.47476423,22.612822687,22,1,,,,,,
48,88.46476423,22.592822687,88.47476423,22.602822687,23,1,,,,,,
49,88.47476423,22.822822687,88.48476423,22.832822687,0,2,,,,,,
50,88.47476423,22.812822687,88.48476423,22.822822687,1,2,,,,,,
51,88.47476423,22.802822687,88.48476423,22.812822687,2,2,,,,,,
52,88.47476423,22.792822687,88.48476423,22.802822687,3,2,,,,,,
53,88.47476423,22.782822687,88.48476423,22.792822687,4,2,,,,,,
54,88.47476423,22.772822687,88.48476423,22.782822687,5,2,,,,,,
55,88.47476423,22.762822687,88.48476423,22.772822687,6,2,,,,,,
56,88.47476423,22.752822687,88.48476423,22.762822687,7,2,,,,,,
57,88.47476423,22.742822687,88.48476423,22.752822687,8,2,,,,,,
58,88.47476423,22.732822687,88.48476423,22.742822687,9,2,,,,,,
59,88.47476423,22.722822687,88.48476423,22.732822687,10,2,,,,,,
60,88.47476423,22.712822687,88.48476423,22.722822687,11,2,,,,,,
61,88.47476423,22.702822687,88.48476423,22.712822687,12,2,,,,,,
62,88.47476423,22.692822687,88.48476423,22.702822687,13,2,,,,,,
63,88.47476423,22.682822687,88.48476423,22.692822687,14,2,,,,,,
64,88.47476423,22.672822687,88.48476423,22.682822687,15,2,,,,,,
65,88.47476423,22.662822687,88.48476423,22.672822687,16,2,,,,,,
