id,left,top,right,bottom,row_index,col_index,1
1,87.947216093999998,22.822822686999999,87.957216094000003,22.832822687000000,0,0,
2,87.947216093999998,22.812822686999997,87.957216094000003,22.822822686999999,1,0,
3,87.947216093999998,22.802822686999999,87.957216094000003,22.812822687000001,2,0,
4,87.947216093999998,22.792822686999997,87.957216094000003,22.802822686999999,3,0,
5,87.947216093999998,22.782822686999999,87.957216094000003,22.792822687000001,4,0,
6,87.947216093999998,22.772822686999994,87.957216094000003,22.782822686999999,5,0,
7,87.947216093999998,22.762822687000000,87.957216094000003,22.772822687000001,6,0,
8,87.947216093999998,22.752822686999998,87.957216094000003,22.762822687000000,7,0,
9,87.947216093999998,22.742822687000000,87.957216094000003,22.752822686999998,8,0,
10,87.947216093999998,22.732822686999999,87.957216094000003,22.742822687000000,9,0,
11,87.947216093999998,22.722822686999997,87.957216094000003,22.732822686999999,10,0,
12,87.947216093999998,22.712822686999999,87.957216094000003,22.722822687000001,11,0,
13,87.947216093999998,22.702822686999998,87.957216094000003,22.712822686999999,12,0,
14,87.947216093999998,22.692822687000000,87.957216094000003,22.702822687000001,13,0,
15,87.947216093999998,22.682822687000002,87.957216094000003,22.692822687000000,14,0,
16,87.947216093999998,22.672822687000000,87.957216094000003,22.682822687000002,15,0,
17,87.947216093999998,22.662822686999998,87.957216094000003,22.672822687000000,16,0,
18,87.947216093999998,22.652822686999997,87.957216094000003,22.662822686999998,17,0,
19,87.947216093999998,22.642822686999999,87.957216094000003,22.652822687000000,18,0,
20,87.947216093999998,22.632822686999997,87.957216094000003,22.642822686999999,19,0,
21,87.947216093999998,22.622822686999999,87.957216094000003,22.632822687000001,20,0,
22,87.947216093999998,22.612822686999998,87.957216094000003,22.622822686999999,21,0,
23,87.947216093999998,22.602822687000000,87.957216094000003,22.612822687000001,22,0,
24,87.947216093999998,22.592822687000002,87.957216094000003,22.602822687000000,23,0,
25,87.957216094000003,22.822822686999999,87.967216094000023,22.832822687000000,0,1,
26,87.957216094000003,22.812822686999997,87.967216094000023,22.822822686999999,1,1,
27,87.957216094000003,22.802822686999999,87.967216094000023,22.812822687000001,2,1,
28,87.957216094000003,22.792822686999997,87.967216094000023,22.802822686999999,3,1,
29,87.957216094000003,22.782822686999999,87.967216094000023,22.792822687000001,4,1,
30,87.957216094000003,22.772822686999994,87.967216094000023,22.782822686999999,5,1,
31,87.957216094000003,22.762822687000000,87.967216094000023,22.772822687000001,6,1,
32,87.957216094000003,22.752822686999998,87.967216094000023,22.762822687000000,7,1,
33,87.957216094000003,22.742822687000000,87.967216094000023,22.752822686999998,8,1,
34,87.957216094000003,22.732822686999999,87.967216094000023,22.742822687000000,9,1,
35,87.957216094000003,22.722822686999997,87.967216094000023,22.732822686999999,10,1,
36,87.957216094000003,22.712822686999999,87.967216094000023,22.722822687000001,11,1,
37,87.957216094000003,22.702822686999998,87.967216094000023,22.712822686999999,12,1,
38,87.957216094000003,22.692822687000000,87.967216094000023,22.702822687000001,13,1,
39,87.957216094000003,22.682822687000002,87.967216094000023,22.692822687000000,14,1,
40,87.957216094000003,22.672822687000000,87.967216094000023,22.682822687000002,15,1,
41,87.957216094000003,22.662822686999998,87.967216094000023,22.672822687000000,16,1,
42,87.957216094000003,22.652822686999997,87.967216094000023,22.662822686999998,17,1,
43,87.957216094000003,22.642822686999999,87.967216094000023,22.652822687000000,18,1,
44,87.957216094000003,22.632822686999997,87.967216094000023,22.642822686999999,19,1,
45,87.957216094000003,22.622822686999999,87.967216094000023,22.632822687000001,20,1,
46,87.957216094000003,22.612822686999998,87.967216094000023,22.622822686999999,21,1,
47,87.957216094000003,22.602822687000000,87.967216094000023,22.612822687000001,22,1,
48,87.957216094000003,22.592822687000002,87.967216094000023,22.602822687000000,23,1,
49,87.967216093999994,22.822822686999999,87.977216093999999,22.832822687000000,0,2,
50,87.967216093999994,22.812822686999997,87.977216093999999,22.822822686999999,1,2,
51,87.967216093999994,22.802822686999999,87.977216093999999,22.812822687000001,2,2,
52,87.967216093999994,22.792822686999997,87.977216093999999,22.802822686999999,3,2,
53,87.967216093999994,22.782822686999999,87.977216093999999,22.792822687000001,4,2,
54,87.967216093999994,22.772822686999994,87.977216093999999,22.782822686999999,5,2,
55,87.967216093999994,22.762822687000000,87.977216093999999,22.772822687000001,6,2,
56,87.967216093999994,22.752822686999998,87.977216093999999,22.762822687000000,7,2,
57,87.967216093999994,22.742822687000000,87.977216093999999,22.752822686999998,8,2,
58,87.967216093999994,22.732822686999999,87.977216093999999,22.742822687000000,9,2,
59,87.967216093999994,22.722822686999997,87.977216093999999,22.732822686999999,10,2,
60,87.967216093999994,22.712822686999999,87.977216093999999,22.722822687000001,11,2,
61,87.967216093999994,22.702822686999998,87.977216093999999,22.712822686999999,12,2,
62,87.967216093999994,22.692822687000000,87.977216093999999,22.702822687000001,13,2,
63,87.967216093999994,22.682822687000002,87.977216093999999,22.692822687000000,14,2,
64,87.967216093999994,22.672822687000000,87.977216093999999,22.682822687000002,15,2,
65,87.967216093999994,22.662822686999998,87.977216093999999,22.672822687000000,16,2,
66,87.967216093999994,22.652822686999997,87.977216093999999,22.662822686999998,17,2,
67,87.967216093999994,22.642822686999999,87.977216093999999,22.652822687000000,18,2,
68,87.967216093999994,22.632822686999997,87.977216093999999,22.642822686999999,19,2,
69,87.967216093999994,22.622822686999999,87.977216093999999,22.632822687000001,20,2,
70,87.967216093999994,22.612822686999998,87.977216093999999,22.622822686999999,21,2,
71,87.967216093999994,22.602822687000000,87.977216093999999,22.612822687000001,22,2,
